artists,genres,release_date,name,popularity,uri,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Ben Crosland,"['background piano', 'neo-classical']",2020-06-19,Oceans Apart,67,spotify:track:1yqM5O07lL7R6UAdK5jvrR,78413,0.396,0.0559,9,-20.707,0.0599,0.987,0.935,0.11,0.278,95.217
Camille Saint-Saëns,"['classical', 'french romanticism', 'late romantic era']",2020-09-25,Carnival of the Animals: The Swan,65,spotify:track:3U8Fx7zNTQrctytkj6Gqgd,150146,0.213,0.0656,7,-24.81,0.0467,0.992,0.969,0.0699,0.0384,65.023
Alexis Ffrench,['neo-classical'],2022-10-07,Papillon - Solo Piano Version,62,spotify:track:0R4HTYUjrBvDwxilINNwYZ,176457,0.282,0.063,0,-26.185,0.0377,0.991,0.905,0.131,0.102,128.534
Joep Beving,"['compositional ambient', 'neo-classical']",2021-08-06,Beving: Ala,66,spotify:track:1ZC21hJb2GASRkaoZvUcCS,120853,0.324,0.116,7,-22.841,0.0348,0.986,0.926,0.113,0.299,79.487
Christopher Dicker,['neo-classical'],2022-10-07,In Repose,62,spotify:track:50Ihxe8oJ8cQ1tDYoehuTc,142805,0.354,0.0368,1,-22.43,0.0451,0.983,0.96,0.109,0.157,92.885
Edvard Grieg,"['classical', 'late romantic era', 'norwegian classical']",2015-05-18,"Lyric Pieces, Book 1, Op. 12: I. Arietta",64,spotify:track:76wV53YHl0tGEvT3L0QzvK,85906,0.328,0.00278,10,-38.801,0.0566,0.995,0.868,0.105,0.194,75.387
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,TQG,96,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,197933,0.72,0.63,4,-3.547,0.277,0.673,0,0.0936,0.607,179.974
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Me Porto Bonito,92,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,178567,0.911,0.712,1,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-03-31,Classy 101,96,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,195986,0.859,0.658,11,-4.79,0.159,0.145,0,0.12,0.672,100.065
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'urbano latino']",2023-03-30,Chanel,92,spotify:track:5RcxRGvmYai7kpFSfxe5GY,201993,0.852,0.675,2,-5.738,0.0363,0.397,0.00317,0.0905,0.528,132.005
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Tití Me Preguntó,91,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,243716,0.65,0.715,5,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Efecto,90,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,213061,0.801,0.475,7,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,98.047
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,AMARGURA,90,spotify:track:505v13epFXodT9fVAJ6h8k,170480,0.92,0.696,6,-3.356,0.0742,0.183,0,0.149,0.545,106.966
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Ojitos Lindos,91,spotify:track:3k3NWokhRRkEPhCzPmV8TW,258298,0.647,0.686,3,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,79.928
J Balvin,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2019-06-28,LA CANCIÓN,88,spotify:track:0fea68AdmYNygeTGI4RC18,242573,0.754,0.646,7,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089
Ñengo Flow,"['reggaeton', 'trap latino', 'urbano latino']",2022-12-22,Gato de Noche,88,spotify:track:54ELExv56KCAB4UP9cOCzC,227013,0.892,0.662,8,-3.894,0.162,0.169,1.24e-06,0.363,0.607,93.976
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Moscow Mule,88,spotify:track:6Xom58OOXk2SoU711L2IXO,245939,0.804,0.674,5,-5.453,0.0333,0.294,1.18e-06,0.115,0.292,99.968
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2023-03-02,Mas Rica Que Ayer,88,spotify:track:3XjvMZqm2AQ8thMCD6w9w2,199148,0.818,0.666,11,-5.319,0.0759,0.343,0,0.0922,0.529,93.95
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2022-12-20,Yandel 150,91,spotify:track:2oiixB9QMIzhWaHGVlQx4g,216148,0.783,0.729,6,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968
Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2022-10-07,Hey Mor,91,spotify:track:1zsPaEkglFvxjAhrM8yhpr,196600,0.901,0.589,1,-6.713,0.289,0.00302,0.000237,0.0992,0.399,98.002
Ovy On The Drums,"['colombian pop', 'reggaeton colombiano', 'urbano latino']",2023-03-09,EL HECHIZO,85,spotify:track:1mF6RkY7x1KsDBZS6cV5f1,167988,0.664,0.529,2,-6.149,0.0392,0.539,5.28e-05,0.0697,0.439,148.12
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2022-12-02,CHORRITO PA LAS ANIMAS,91,spotify:track:0CYTGMBYkwUxrj1MWDLrC5,168133,0.743,0.831,8,-4.042,0.0584,0.114,6.43e-05,0.35,0.609,95.975
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Neverita,87,spotify:track:31i56LZnwE6uSu3exoHjtB,173119,0.876,0.498,10,-7.511,0.0478,0.0706,0,0.143,0.428,122.016
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,PROVENZA,85,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,207626,0.87,0.517,1,-7.918,0.0475,0.576,0.00553,0.11,0.54,111.002
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Party,85,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,227628,0.829,0.799,9,-5.389,0.0897,0.0151,0.000543,0.242,0.471,97.013
Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2022-05-26,La Bachata,89,spotify:track:5ww2BF9slyYgNOk37BlC4u,162637,0.835,0.679,7,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98
Jhayco,"['reggaeton', 'trap latino', 'urbano latino']",2019-05-24,No Me Conoce - Remix,85,spotify:track:2beS6dD5rovBxSA1zYoSHR,309120,0.804,0.787,10,-3.824,0.0746,0.14,0,0.0927,0.562,91.974
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,X SI VOLVEMOS,86,spotify:track:4NoOME4Dhf4xgxbHDT7VGe,200120,0.794,0.807,1,-3.447,0.326,0.334,0,0.104,0.575,178.003
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2022-09-14,Feliz Cumpleaños Ferxxo,90,spotify:track:2CeKVsFFXG4QzA415QygGb,155960,0.865,0.573,5,-5.501,0.0678,0.0863,0,0.305,0.563,94.999
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-04-21,Niña Bonita,90,spotify:track:3Gs7mVfWKl567mjozgxmXv,187653,0.823,0.615,7,-4.19,0.147,0.104,0,0.104,0.47,90.952
Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2004-07-13,Gasolina,85,spotify:track:228BxWXUYQPJrJYHDLOHkj,192600,0.852,0.797,0,-6.543,0.0614,0.322,2.69e-06,0.0845,0.741,96.008
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2021-06-04,Yonaguni,86,spotify:track:2JPLbjOn0wPCngEot2STUS,206710,0.644,0.648,1,-4.601,0.118,0.276,0,0.135,0.44,179.951
Arcángel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2022-12-01,La Jumpa,87,spotify:track:2mnXxnrX5vCGolNkaFvVeM,255693,0.887,0.234,9,-14.52,0.178,0.111,0.67,0.13,0.197,140.02
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2022-05-06,Tarot,85,spotify:track:41oY4WCTj5kccfesTVFnvN,237894,0.795,0.684,11,-3.971,0.0419,0.0225,0,0.658,0.419,114.011
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,MAÑANA SERÁ BONITO,81,spotify:track:4bycD60yZgR6anIBtmU8UH,210986,0.777,0.715,8,-4.569,0.0874,0.455,3.5e-05,0.326,0.245,92.006
Farruko,"['reggaeton', 'trap latino', 'urbano latino']",2021-06-24,Pepas,86,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,287120,0.762,0.766,7,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
Shaggy,"['dance pop', 'pop rap', 'reggae fusion']",2000-08-08,It Wasn't Me,82,spotify:track:3WkibOpDF7cQ5xntM1epyf,227600,0.853,0.606,0,-4.596,0.0713,0.0561,0,0.313,0.654,94.759
Tainy,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",2021-10-05,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),84,spotify:track:4gzsuuZypVbxs0Af1LSZyB,207301,0.639,0.703,4,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888
Arcángel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2022-11-30,La Jumpa,86,spotify:track:5MxFWjuqQIsbNWbMdMdbli,255693,0.713,0.703,8,-5.769,0.194,0.298,0,0.321,0.576,123.06
Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2003-01-01,Dile,86,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,204600,0.817,0.714,4,-7.501,0.141,0.184,0.000132,0.042,0.714,94.001
Yandel,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2023-01-13,Yandel 150,90,spotify:track:4FAKtPVycI4DxoOHC01YqD,216148,0.783,0.729,6,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968
Anuel AA,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2023-05-04,Mejor Que Yo,84,spotify:track:1VsHc0qIeyjYOyvN5HIEQG,242696,0.624,0.655,1,-4.177,0.0547,0.18,0,0.116,0.565,178.083
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2020-10-30,DÁKITI,83,spotify:track:47EiUVwUp4C9fGccaPuUCS,205090,0.731,0.573,4,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928
Nicky Jam,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",2023-05-19,69,87,spotify:track:13Z5Q40pa1Ly7aQk1oW8Ce,221935,0.785,0.617,8,-4.202,0.234,0.109,0,0.11,0.58,92.844
Rauw Alejandro,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",2023-01-24,LOKERA,83,spotify:track:1aUq8rjW1EwkAkMri4VfJy,197101,0.836,0.826,11,-2.66,0.0461,0.213,6.03e-06,0.0814,0.579,102.025
Chencho Corleone,"['reggaeton flow', 'trap latino', 'urbano latino']",2023-05-04,Un Cigarrillo,84,spotify:track:4k7CNPArKLf4QuvGfMeHDk,184266,0.781,0.774,6,-4.477,0.187,0.133,0,0.472,0.762,175.956
Sebastian Yatra,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",2023-05-12,VAGABUNDO,89,spotify:track:1MB8kTH7VKvAMfL9SHgJmG,215600,0.817,0.851,11,-3.309,0.0627,0.0351,0,0.232,0.886,127.019
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2022-04-22,PROVENZA,84,spotify:track:7dSZ6zGTQx66c2GF91xCrb,210200,0.87,0.516,1,-8.006,0.0541,0.656,0.00823,0.11,0.53,111.005
Zion & Lennox,"['reggaeton', 'urbano latino']",2004-05-04,Yo Voy (feat. Daddy Yankee),84,spotify:track:5gflgO9EPbIBf16n5TKnQS,232019,0.808,0.697,10,-5.899,0.241,0.041,0,0.0546,0.554,95.06
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-03-17,REMIX EXCLUSIVO,86,spotify:track:3eqCJfgJJs8iKx49KO12s3,206946,0.651,0.557,5,-5.466,0.204,0.0358,0,0.154,0.711,87.063
MAGIC!,"['pop', 'reggae fusion']",2014-06-25,Rude,84,spotify:track:6RtPijgfPKROxEzTHNRiDp,224840,0.773,0.758,1,-4.993,0.0381,0.0422,0,0.305,0.925,144.033
Plan B,"['reggaeton', 'trap latino', 'urbano latino']",2010-07-20,Es un Secreto,72,spotify:track:7JwdbqIpiuWvGbRryKSuBz,190560,0.841,0.783,6,-4.915,0.0432,0.106,2.49e-06,0.0528,0.514,94.989
Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",2020-02-29,La Santa,84,spotify:track:69vlMrzHwATKzupwNcUPyK,206420,0.744,0.868,1,-4.524,0.047,0.0326,0,0.0822,0.586,93.037
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,CAIRO,83,spotify:track:16dUQ4quIHDe4ZZ0wF1EMN,198666,0.957,0.677,5,-3.979,0.292,0.483,0.000438,0.0961,0.469,115.0
Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-03-17,La Bachata,87,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,162637,0.835,0.679,7,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,124.98
KAROL G,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-02-24,GUCCI LOS PAÑOS,80,spotify:track:3CNbrXrUrEARw8zeKNCdYo,186453,0.791,0.45,2,-3.001,0.0393,0.542,0,0.185,0.87,157.953
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2013-04-19,Sweater Weather,92,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,240400,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",2004,Mr. Brightside,88,spotify:track:003vvx7Niy0yvhvHt4a68B,222973,0.352,0.911,1,-5.23,0.0747,0.00121,0,0.0995,0.236,148.033
Bakar,['uk alternative hip hop'],2019-08-15,Hell N Back,85,spotify:track:3NRql0A1Ef4RCvT473iqgD,213573,0.584,0.684,10,-4.314,0.567,0.312,9.05e-05,0.112,0.72,210.164
Florence + The Machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",2009,Dog Days Are Over,80,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,251840,0.492,0.81,7,-5.315,0.0847,0.0416,0.00379,0.117,0.245,149.954
System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2001-09-04,Chop Suey!,87,spotify:track:2DlHlPMa4M17kufBvI2lEN,210240,0.417,0.934,7,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066
Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",2013-10-08,Cigarette Daydreams,81,spotify:track:2tznHmp70DxMyr2XhWLOW0,208760,0.636,0.676,2,-3.442,0.0263,0.0807,0,0.0831,0.273,113.98
Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",2005-05-23,Feel Good Inc.,86,spotify:track:0d28khcov6AiegSCpG5TuT,222640,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2015-10-30,Daddy Issues,87,spotify:track:5E30LdtzQTGqRvNd7l6kG5,260173,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012
The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,Seven Nation Army,87,spotify:track:3dPQuX8Gs42Y7b454ybpMR,232106,0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596
3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",2000,Kryptonite,83,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,233933,0.545,0.865,11,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Jimmy Eat World,"['alternative metal', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",2001-07-17,The Middle,84,spotify:track:6GG73Jik4jUlQCkKg9JuGO,165853,0.643,0.849,2,-5.428,0.0526,0.0371,0,0.058,0.903,162.152
GROUPLOVE,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",2011-09-02,Tongue Tied,82,spotify:track:0GO8y8jQk1PkHzS31d699N,218013,0.56,0.936,3,-5.835,0.0439,0.00847,0,0.161,0.371,112.96
Doechii,['alternative r&b'],2023-03-17,What It Is (Solo Version),87,spotify:track:73RbfOTJIjHzi2pcVHjeHM,189824,0.74,0.758,1,-5.851,0.0921,0.061,1.44e-06,0.0967,0.757,171.925
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2018-11-02,You Get Me So High,84,spotify:track:7zwn1eykZtZ5LODrf7c0tS,153000,0.551,0.881,7,-6.099,0.0542,0.186,0.0791,0.152,0.387,88.036
GoldLink,['alternative r&b'],2017-03-24,Crew (feat. Brent Faiyaz & Shy Glizzy),79,spotify:track:15EPc80XuFrb2LmOzGjuRg,176702,0.728,0.607,1,-8.417,0.132,0.133,0,0.0864,0.445,129.938
Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",2001-05-15,Island In The Sun,82,spotify:track:2MLHyLy5z5l5YRp7momlgw,200306,0.654,0.81,4,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623
BØRNS,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pov: indie']",2015-10-16,Electric Love,83,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,218106,0.611,0.797,6,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000-10-24,In the End,88,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,216880,0.556,0.864,3,-5.87,0.0584,0.00958,0,0.209,0.4,105.143
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2018-11-02,Softcore,87,spotify:track:2K7xn816oNHJZ0aVqdQsha,206280,0.575,0.568,9,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",2011-05-23,Pumped Up Kicks,86,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600,0.733,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975
Dominic Fike,"['alternative pop rock', 'pov: indie']",2023-06-02,Mona Lisa (Spider-Man: Across the Spider-Verse),85,spotify:track:37CoOXIsgF3NzbK1zHZetk,186066,0.759,0.646,1,-7.603,0.12,0.231,0,0.161,0.445,111.043
The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",2008-06-17,"You're Gonna Go Far, Kid",84,spotify:track:6TfBA04WJ3X1d1wXhaCFVT,177826,0.55,0.917,0,-3.159,0.0638,0.00428,0,0.197,0.601,126.115
Evanescence,['alternative metal'],2003-03-04,Bring Me To Life,85,spotify:track:0COqiPhxzoWICwFCS4eZcp,235893,0.331,0.943,4,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,94.612
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2003-03-24,Numb,88,spotify:track:2nLtzopw4rPReszdYBJU6h,185586,0.496,0.863,9,-4.153,0.0381,0.0046,0,0.639,0.243,110.018
Deftones,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']",2000-05-16,Change (In the House of Flies),80,spotify:track:51c94ac31swyDQj9B3Lzs3,299533,0.269,0.853,7,-4.647,0.0854,0.000249,0.000246,0.118,0.179,141.581
Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",2009-03-24,Ain't No Rest for the Wicked,77,spotify:track:3Pzh926pXggbMe2ZpXyMV7,175493,0.636,0.849,0,-7.075,0.106,0.0438,0,0.372,0.917,156.036
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",2013-05-07,Out of My League,76,spotify:track:2AYEOC02WLhUiOoaig2SEH,209386,0.545,0.968,9,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965
Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",2001-04-25,Last Resort,84,spotify:track:5W8YXBz9MTIDyrpYaCg2Ky,199906,0.589,0.89,4,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598
Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",2002-07-09,Can't Stop,85,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,269000,0.618,0.938,9,-3.442,0.0456,0.0179,0,0.167,0.875,91.455
Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock', 'post-grunge']",2009-08-21,Monster,81,spotify:track:2UREu1Y8CO4jXkbvqAtP7g,178013,0.64,0.957,8,-2.336,0.0741,0.0431,0,0.0789,0.692,134.992
System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2001-09-04,Toxicity,85,spotify:track:0snQkGI5qnAmohLE7jTsTn,218933,0.413,0.873,8,-4.151,0.0536,0.000264,0.00249,0.204,0.48,116.68
MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",2007-12-14,Electric Feel,80,spotify:track:3FtYbEfBqAlGO46NUDQSAt,229640,0.763,0.803,1,-3.713,0.0351,0.0709,0.285,0.348,0.561,103.04
Slipknot,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2004,Duality,83,spotify:track:61mWefnWQOLf90gepjOCb3,252613,0.354,0.982,4,-3.026,0.168,0.000237,0.000294,0.204,0.194,143.772
Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2000-10-24,One Step Closer,82,spotify:track:3K4HG9evC7dg3N0R9cYqk4,157333,0.492,0.969,9,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136
Avenged Sevenfold,"['alternative metal', 'nu metal']",2013-08-23,Hail to the King,80,spotify:track:5anCkDvJ17aznvK5TED5uo,305906,0.58,0.916,3,-4.358,0.0387,0.000297,0.0259,0.126,0.683,118.004
Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",2001-09-11,How You Remind Me,82,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,223840,0.446,0.764,10,-5.042,0.033,0.00135,0,0.099,0.543,172.094
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2018-11-02,Reflections,85,spotify:track:2xql0pid3EUwW38AsywxhV,244013,0.648,0.594,11,-7.027,0.0293,0.114,0.0462,0.116,0.544,113.983
Finger Eleven,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge']",2007-01-01,Paralyzer,77,spotify:track:28IEbk5a7twNTbUEvWslUb,208106,0.644,0.939,11,-3.486,0.0456,0.157,0,0.233,0.861,106.031
MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop']",2004-11-16,Rapp Snitch Knishes feat. Mr. Fantastik,80,spotify:track:5KUNwkaNf8l5A9sXZhiCgI,172893,0.728,0.832,7,-6.827,0.267,0.327,0,0.504,0.825,95.051
Chase Atlantic,['alternative r&b'],2017-10-04,Swim,84,spotify:track:3M0lSi5WW79CXQamgSBIjx,228786,0.666,0.542,8,-6.429,0.0392,0.27,0,0.0765,0.0771,120.134
alt-J,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",2012-09-18,Breezeblocks,75,spotify:track:3n69hLUdIsSa1WlRmjMZlW,227080,0.615,0.658,5,-7.299,0.0343,0.096,0.000911,0.205,0.293,150.093
Seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']",2007-01-01,Fake It,77,spotify:track:4eAwB5pnKFTmsgc3zWoYO0,193893,0.611,0.95,8,-3.509,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078
Modest Mouse,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'washington indie']",2004-04-05,Float On,77,spotify:track:2lwwrWVKdf3LR9lbbhnr6R,208466,0.649,0.888,6,-4.807,0.0293,0.013,2.23e-06,0.0888,0.553,100.975
The Red Jumpsuit Apparatus,"['alternative metal', 'neon pop punk', 'pop punk', 'post-grunge', 'screamo']",2006-01-01,Face Down,78,spotify:track:4wzjNqjKAKDU82e8uMhzmr,192000,0.545,0.932,7,-2.189,0.0399,0.000665,0,0.127,0.464,92.956
Ozzy Osbourne,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'nu metal', 'rock']",2020-09-18,Crazy Train,80,spotify:track:7ACxUo21jtTHzy7ZEV56vU,293183,0.454,0.913,9,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688
The Strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",2020-04-10,The Adults Are Talking,81,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,309053,0.593,0.749,5,-5.67,0.0475,0.0113,0.106,0.314,0.649,164.959
Manu Chao,"['latin alternative', 'world']",2001-06-01,Me Gustas Tu,86,spotify:track:6b37xrsNCWYIUphFBazqD6,239986,0.657,0.741,11,-6.822,0.0825,0.663,0.494,0.222,0.908,175.949
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",2004,Somebody Told Me,81,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,197200,0.497,0.97,10,-4.851,0.0836,9.04e-05,0.000674,0.101,0.689,138.081
MGMT,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",2018-02-09,Little Dark Age,82,spotify:track:2Y0iGXY6m6immVb2ktbseM,299960,0.705,0.712,6,-6.156,0.0385,0.0102,0.000855,0.1,0.62,97.512
Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']",2006-06-25,Animal I Have Become,77,spotify:track:56sk7jBpZV0CD31G9hEU3b,231400,0.553,0.853,8,-3.668,0.0339,0.000684,0,0.126,0.506,122.023
JVKE,"['modern indie pop', 'pov: indie']",2022-09-23,golden hour,91,spotify:track:5odlY52u43F5BjByhxg7wg,209259,0.515,0.593,4,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467
TV Girl,['pov: indie'],2014-06-05,Lovers Rock,89,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,213920,0.559,0.871,5,-5.338,0.0397,7.53e-06,0.00545,0.096,0.572,104.97
