artists,genres,release_date,name,popularity,uri,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",2023-04-14,Chemical,90,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,184013,0.498,0.897,2,-4.907,0.045,0.00136,0,0.118,0.373,169.902
Taylor Swift,['pop'],2014-10-27,Blank Space,83,spotify:track:1p80LdxRV74UKvL8gnD7ky,231826,0.753,0.678,5,-5.421,0.0644,0.085,1.64e-06,0.13,0.583,96.006
Lana Del Rey,"['art pop', 'pop']",2023-05-19,Say Yes To Heaven,92,spotify:track:6GGtHZgBycCgGBUhZo81xe,209156,0.49,0.352,6,-11.577,0.0254,0.709,0.0856,0.114,0.166,99.992
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2013-04-19,Sweater Weather,92,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,240400,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",2022-08-26,I'm Good (Blue),95,spotify:track:4uUG5RXrOk84mYEfFvj3cK,175238,0.561,0.965,7,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
Taylor Swift,['pop'],2020-07-24,cardigan,91,spotify:track:4R2kfaDFhslZEMJqAFNpdd,239560,0.613,0.581,0,-8.588,0.0424,0.537,0.000345,0.25,0.551,130.033
Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2020-08-07,Heat Waves,92,spotify:track:3USxtqRwSYz57Ewm6wWRMp,238805,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Taylor Swift,['pop'],2010-10-25,Enchanted,82,spotify:track:10eBRyImhfqVvkiVEGf0N0,352186,0.455,0.623,8,-3.878,0.0288,0.0739,0.000424,0.146,0.208,163.893
Dua Lipa,"['dance pop', 'pop', 'uk pop']",2023-05-25,Dance The Night (From Barbie The Album),92,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,176579,0.671,0.845,11,-4.93,0.048,0.0207,0,0.329,0.775,110.056
ROSALÍA,"['pop', 'r&b en espanol']",2023-03-24,BESO,96,spotify:track:609E1JCInJncactoMmkDon,194543,0.768,0.644,5,-6.671,0.136,0.736,0.000837,0.173,0.53,95.05
Taylor Swift,['pop'],2022-10-21,Lavender Haze,88,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,202395,0.733,0.436,10,-10.489,0.08,0.258,0.000573,0.157,0.0976,96.985
Taylor Swift,['pop'],2014-10-27,Style,82,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5,231000,0.598,0.786,2,-5.572,0.0383,0.00253,0.0016,0.117,0.456,95.019
JVKE,"['modern indie pop', 'pov: indie']",2022-09-23,golden hour,91,spotify:track:5odlY52u43F5BjByhxg7wg,209259,0.515,0.593,4,-4.801,0.0322,0.653,0.162,0.25,0.153,94.467
Harry Styles,['pop'],2022-03-31,As It Was,93,spotify:track:4LRPiXqCikLlN15c3yImP7,167303,0.52,0.731,6,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93
Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",2015-08-28,Space Song,82,spotify:track:7H0ya83CMmgFcOhw0UB6ow,320466,0.508,0.792,0,-7.311,0.0297,0.229,0.124,0.145,0.601,147.067
Sabrina Carpenter,['pop'],2022-07-15,Nonsense,90,spotify:track:6dgUya35uo964z7GZXM07g,163648,0.74,0.697,8,-4.912,0.034,0.0268,0,0.224,0.732,138.992
Taylor Swift,['pop'],2019-08-23,Lover,90,spotify:track:1dGr1c8CrMLDpV6mPbImSI,221306,0.359,0.543,7,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016-11-25,Starboy,94,spotify:track:7MXVkk9YMctZqd1Srtv4MB,230453,0.679,0.587,7,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016-11-24,Die For You,91,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,260253,0.586,0.525,1,-7.163,0.0615,0.111,0,0.134,0.508,133.629
Taylor Swift,['pop'],2019-08-23,All Of The Girls You Loved Before,89,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,221407,0.718,0.467,2,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96
Lizzy McAlpine,"['alt z', 'boston folk', 'indie pop']",2022-04-08,ceilings,90,spotify:track:2L9N0zZnd37dwF0clgxMGI,182887,0.516,0.322,9,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005
Cigarettes After Sex,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",2017-06-09,Apocalypse,84,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,290146,0.369,0.467,5,-9.018,0.0274,0.0194,0.46,0.109,0.174,94.473
Taylor Swift,['pop'],2023-05-26,Hits Different,88,spotify:track:3xYJScVfxByb61dYHTwiby,234466,0.672,0.782,5,-6.499,0.0421,0.148,4.73e-06,0.296,0.239,106.026
SZA,"['pop', 'r&b', 'rap']",2022-12-09,Low,87,spotify:track:2GAhgAjOhEmItWLfgisyOn,181080,0.698,0.546,0,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2023-02-24,Die For You - Remix,92,spotify:track:7oDd86yk8itslrA9HRP2ki,232857,0.531,0.525,1,-6.5,0.0671,0.232,0,0.441,0.502,66.9
Zach Bryan,"['classic oklahoma country', 'modern country pop']",2019-09-30,Heading South,84,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,171692,0.68,0.246,4,-14.112,0.058,0.783,0,0.106,0.388,110.23
Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",2023-03-31,Classy 101,96,spotify:track:6XSqqQIy7Lm7SnwxS4NrGx,195986,0.859,0.658,11,-4.79,0.159,0.145,0,0.12,0.672,100.065
Labrinth,"['indie poptimism', 'pop']",2023-04-07,Never Felt So Alone,88,spotify:track:2NbsBSshscKIPRG3kwBbfo,160166,0.436,0.409,5,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-11-04,Spin Bout U,86,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,214588,0.773,0.701,7,-6.386,0.0512,0.01,0,0.163,0.203,129.963
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2023-06-02,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),89,spotify:track:5xP9lQYA8YQmQh6BOxcAnR,215466,0.852,0.675,1,-6.271,0.197,0.0652,3.74e-05,0.36,0.83,99.012
The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-03-20,Blinding Lights,93,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200040,0.514,0.73,1,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005
Kali Uchis,['colombian pop'],2023-03-03,Moonlight,88,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,187723,0.642,0.706,7,-6.872,0.052,0.518,0,0.25,0.896,136.851
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2013-04-19,Sweater Weather,92,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,240400,0.612,0.807,10,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053
OneRepublic,"['piano rock', 'pop']",2022-05-13,I Ain't Worried,94,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,148485,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",2007-04-24,505,82,spotify:track:58ge6dfP91o9oXMzq3XkIS,253586,0.52,0.852,0,-5.866,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",2004,Mr. Brightside,88,spotify:track:003vvx7Niy0yvhvHt4a68B,222973,0.352,0.911,1,-5.23,0.0747,0.00121,0,0.0995,0.236,148.033
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",2013-09-09,I Wanna Be Yours,95,spotify:track:5XeFesFbtLpXzIVDNQP22n,183956,0.464,0.417,0,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528
Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",2020-08-07,Heat Waves,92,spotify:track:3USxtqRwSYz57Ewm6wWRMp,238805,0.761,0.525,11,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",2015-07-17,The Less I Know The Better,87,spotify:track:6K4t31amVTZDgR3sKmwUJJ,216320,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879
Vance Joy,"['folk-pop', 'modern rock']",2014-09-09,Riptide,83,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,204280,0.484,0.731,1,-6.694,0.0379,0.431,0,0.151,0.51,101.654
Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",2013-10-08,Cigarette Daydreams,81,spotify:track:2tznHmp70DxMyr2XhWLOW0,208760,0.636,0.676,2,-3.442,0.0263,0.0807,0,0.0831,0.273,113.98
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",2013-09-09,Why'd You Only Call Me When You're High?,89,spotify:track:086myS9r57YsLbJpU0TgK9,161123,0.691,0.631,2,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
The White Stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,Seven Nation Army,87,spotify:track:3dPQuX8Gs42Y7b454ybpMR,232106,0.743,0.446,4,-7.807,0.0683,0.0039,0.118,0.337,0.278,123.596
Jimmy Eat World,"['alternative metal', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",2001-07-17,The Middle,84,spotify:track:6GG73Jik4jUlQCkKg9JuGO,165853,0.643,0.849,2,-5.428,0.0526,0.0371,0,0.058,0.903,162.152
Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop', 'pov: indie']",2015-08-28,Space Song,82,spotify:track:7H0ya83CMmgFcOhw0UB6ow,320466,0.508,0.792,0,-7.311,0.0297,0.229,0.124,0.145,0.601,147.067
Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",2008-11-17,Chicken Fried,82,spotify:track:0LQtEJt7x0s6knb6RKdRYc,238146,0.566,0.713,6,-4.25,0.0418,0.645,0,0.114,0.805,169.861
GROUPLOVE,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pov: indie']",2011-09-02,Tongue Tied,82,spotify:track:0GO8y8jQk1PkHzS31d699N,218013,0.56,0.936,3,-5.835,0.0439,0.00847,0,0.161,0.371,112.96
Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",2022-04-08,She Had Me At Heads Carolina,81,spotify:track:200x8ONbPfFzByUr3fVz46,206106,0.607,0.912,8,-3.449,0.0611,0.124,0,0.332,0.722,134.944
Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",2013-09-09,Do I Wanna Know?,90,spotify:track:5FVd6KXrgO9B3JPmC8OPst,272394,0.548,0.532,5,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03
Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",2020-02-14,Borderline,85,spotify:track:5hM5arv9KDbCHS0k9uqwjr,237800,0.621,0.873,5,-3.067,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2015-10-30,Daddy Issues,87,spotify:track:5E30LdtzQTGqRvNd7l6kG5,260173,0.588,0.521,10,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012
Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",2005-05-23,Feel Good Inc.,86,spotify:track:0d28khcov6AiegSCpG5TuT,222640,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559
Old Dominion,"['contemporary country', 'country', 'country road', 'modern country rock']",2023-01-05,Memory Lane,81,spotify:track:5kB6WithhB8Iv08EMNmAbt,172480,0.645,0.8,6,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977
Florence + The Machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']",2009,Dog Days Are Over,80,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,251840,0.492,0.81,7,-5.315,0.0847,0.0416,0.00379,0.117,0.245,149.954
Paramore,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",2007-06-11,Misery Business,78,spotify:track:6SpLc7EXZIPpy0sVko0aoU,211520,0.517,0.906,1,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",2001-05-15,Island In The Sun,82,spotify:track:2MLHyLy5z5l5YRp7momlgw,200306,0.654,0.81,4,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623
Neon Trees,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",2012-01-01,Everybody Talks,82,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,177280,0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,0.725,154.961
Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-06-23,Believer,90,spotify:track:0pqnGHJpmpxLKifKRmU6WP,204346,0.776,0.78,10,-4.374,0.128,0.0622,0,0.081,0.666,124.949
Jack Black,"['comedy rock', 'comic']",2023-04-07,Peaches,85,spotify:track:4w9soAM7IrmYDhSXLp14p6,95440,0.698,0.312,10,-10.9,0.0483,0.797,0,0.1,0.419,92.138
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2018-11-02,You Get Me So High,84,spotify:track:7zwn1eykZtZ5LODrf7c0tS,153000,0.551,0.881,7,-6.099,0.0542,0.186,0.0791,0.152,0.387,88.036
Foster The People,"['indietronica', 'modern alternative rock', 'modern rock', 'rock']",2011-05-23,Pumped Up Kicks,86,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600,0.733,0.71,5,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975
WALK THE MOON,"['dance rock', 'modern rock', 'pop']",2014-12-02,Shut Up and Dance,86,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,199080,0.578,0.866,1,-3.804,0.0619,0.00701,0,0.257,0.619,128.038
System Of A Down,"['alternative metal', 'nu metal', 'rap metal', 'rock']",2001-09-04,Chop Suey!,87,spotify:track:2DlHlPMa4M17kufBvI2lEN,210240,0.417,0.934,7,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066
Fall Out Boy,"['emo', 'modern rock', 'pop', 'pop punk', 'rock']",2005-05-03,"Sugar, We're Goin Down",81,spotify:track:2TfSHkHiFO4gRztVIkggkE,229093,0.494,0.842,7,-4.784,0.0843,0.00579,0,0.122,0.574,162.011
BØRNS,"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pov: indie']",2015-10-16,Electric Love,83,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,218106,0.611,0.797,6,-7.627,0.0533,0.00543,0.00137,0.26,0.518,120.041
Imagine Dragons,"['modern rock', 'pop', 'rock']",2017-06-23,Thunder,88,spotify:track:1zB4vmk8tFRmM9UULNzbLB,187146,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997
The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",2018-11-02,Softcore,87,spotify:track:2K7xn816oNHJZ0aVqdQsha,206280,0.575,0.568,9,-5.509,0.03,0.0484,0.000417,0.286,0.37,93.986
Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",2014-09-19,Take Me to Church,80,spotify:track:1CS7Sd1u5tWkstBhpssyjP,241693,0.566,0.664,4,-5.303,0.0464,0.634,0,0.116,0.437,128.945
Imagine Dragons,"['modern rock', 'pop', 'rock']",2012-09-04,Demons,77,spotify:track:3LlAyCYU26dvFZBDUIMb7a,175200,0.505,0.71,3,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938
My Chemical Romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']",2006-10-23,Teenagers,83,spotify:track:7j31rVgGX9Q2blT92VBEA0,161920,0.463,0.857,4,-3.063,0.0632,0.0506,0,0.184,0.856,111.647
Kings of Leon,"['modern rock', 'rock']",2008-09-23,Sex on Fire,84,spotify:track:0ntQJM78wzOLVeCUAW7Y45,203346,0.542,0.905,9,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398
Vundabar,"['boston indie', 'indie garage rock', 'pov: indie']",2015-07-24,Alien Blues,83,spotify:track:11iIikXxC6NP0Ma8vMD27x,155933,0.467,0.757,3,-5.093,0.033,0.0807,0.908,0.0876,0.433,82.282
Cage The Elephant,"['modern alternative rock', 'modern rock', 'pov: indie', 'punk blues', 'rock']",2009-03-24,Ain't No Rest for the Wicked,77,spotify:track:3Pzh926pXggbMe2ZpXyMV7,175493,0.636,0.849,0,-7.075,0.106,0.0438,0,0.372,0.917,156.036
3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",2000,Kryptonite,83,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,233933,0.545,0.865,11,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']",2015-07-17,"New Person, Same Old Mistakes",82,spotify:track:52ojopYMUzeNcudsoz7O9D,363240,0.47,0.809,8,-6.74,0.0495,0.272,0.00671,0.0491,0.49,151.836
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",2013-05-07,Out of My League,76,spotify:track:2AYEOC02WLhUiOoaig2SEH,209386,0.545,0.968,9,-3.553,0.0853,0.0387,0.00325,0.331,0.527,169.965
Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",2015-05-15,Stressed Out,87,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333,0.734,0.637,4,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977
Keane,"['neo mellow', 'piano rock', 'pop rock']",2004-01-01,Somewhere Only We Know,79,spotify:track:0ll8uFnc0nANY35E0Lfxvg,236160,0.453,0.655,9,-4.22,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012
The Lumineers,"['folk-pop', 'modern rock', 'neo mellow', 'stomp and holler']",2016-04-08,Ophelia,78,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,160097,0.664,0.573,5,-6.519,0.0277,0.613,0.000363,0.0857,0.566,76.023
Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",2016-05-13,Night Shift,79,spotify:track:0bPnT6i9H1p8Vd85GS6Z7I,172253,0.63,0.754,2,-3.564,0.0284,0.0963,0,0.268,0.73,95.999
Jon Pardi,"['contemporary country', 'country', 'country road', 'modern country rock']",2022-09-02,Your Heart Or Mine,78,spotify:track:7ETjhPaIU4UmHOiimJBZz9,161200,0.639,0.713,5,-4.368,0.0337,0.0539,0,0.102,0.717,86.1
Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",2002-07-09,Can't Stop,85,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,269000,0.618,0.938,9,-3.442,0.0456,0.0179,0,0.167,0.875,91.455
"Tyler, The Creator","['hip hop', 'rap']",2017-07-21,See You Again (feat. Kali Uchis),95,spotify:track:7KA4W4McWYRpgf0fWsJZWB,180386,0.558,0.559,6,-9.222,0.0959,0.371,7.49e-06,0.109,0.62,78.558
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2023-04-07,Search & Rescue,91,spotify:track:7aRCf5cLOFN1U7kvtChY1G,272112,0.817,0.44,10,-8.482,0.0734,0.0603,1.42e-06,0.33,0.544,142.024
J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2014-12-09,No Role Modelz,91,spotify:track:68Dni7IE4VyPkTOH9mRWHr,292799,0.69,0.521,10,-8.492,0.339,0.324,0,0.0534,0.494,100.028
Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2023-05-12,All My Life (feat. J. Cole),91,spotify:track:6HgWWaMu31KdOpEG5l28BG,223878,0.829,0.436,3,-8.205,0.327,0.15,0,0.0954,0.693,143.031
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-11-04,Rich Flex,90,spotify:track:1bDbXMyjaUIooNwFE9wn0N,239359,0.561,0.52,11,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15
Lil Durk,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",2023-05-26,Stand By Me (feat. Morgan Wallen),87,spotify:track:1fXnu2HzxbDtoyvFPWG3Bw,219173,0.756,0.582,11,-7.726,0.0343,0.0592,0,0.161,0.605,134.07
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-06-17,Jimmy Cooks (feat. 21 Savage),90,spotify:track:3F5CgOj3wFlRv51JsHbxhe,218364,0.529,0.673,0,-4.711,0.175,0.000307,2.41e-06,0.093,0.366,165.921
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",2012,Money Trees,85,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,386906,0.716,0.531,7,-7.355,0.122,0.0703,0,0.224,0.344,71.994
NLE Choppa,"['memphis hip hop', 'rap']",2022-04-22,SLUT ME OUT,86,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,123672,0.938,0.606,6,-6.396,0.419,0.117,0,0.528,0.706,121.108
21 Savage,"['atl hip hop', 'hip hop', 'rap', 'trap']",2020-10-02,Glock In My Lap,88,spotify:track:6pcywuOeGGWeOQzdUyti6k,193591,0.847,0.733,10,-6.439,0.16,0.00574,1.04e-05,0.151,0.202,130.029
Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",2022-11-04,Spin Bout U,86,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,214588,0.773,0.701,7,-6.386,0.0512,0.01,0,0.163,0.203,129.963
Future,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",2022-04-29,WAIT FOR U (feat. Drake & Tems),88,spotify:track:59nOXPmaKlBfGMDeOVGrIK,189893,0.463,0.642,1,-4.474,0.34,0.314,0,0.0686,0.339,83.389
